id_igre,imena,rating,rezultat,st_potez,leto,poteze
16069636,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",&frac12;-&frac12;,28,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6
16111616,Vladislav Artemiev vs. Magnus Carlsen,"(2757) , (2881)",1-0,38,2021,1. Nf3 c5 2. c4 Nf6 3. g3 Nc6
16109428,Levon Aronian vs. Magnus Carlsen,"(2761) , (2881)",&frac12;-&frac12;,43,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16079222,Aryan Tari vs. Magnus Carlsen,"(2639) , (2847)",0-1,75,2021,1. e4 c5 2. Nf3 e6 3. d4 cxd4
16069496,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",1-0,34,2021,1. e4 e6 2. d4 d5 3. exd5 exd5
16113274,Richard Rapport vs. Magnus Carlsen,"(2760) , (2855)",&frac12;-&frac12;,42,2021,1. g3 d5 2. Nf3 c5 3. Bg2 Nc6
16119930,Ian Nepomniachtchi vs. Magnus Carlsen,"(2792) , (2855)",&frac12;-&frac12;,33,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16032123,Johan-Sebastian Christiansen vs. Magnus Carlsen,"(2618) , (2847)",&frac12;-&frac12;,92,2021,1. e4 d6 2. d4 g6 3. Nc3 c6
16025727,Levon Aronian vs. Magnus Carlsen,"(2781) , (2847)",&frac12;-&frac12;,71,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16067462,Arjun Erigaisi vs. Magnus Carlsen,"(2289) , (2881)",&frac12;-&frac12;,64,2021,1. d4 d5 2. c4 c6 3. Nf3 Nf6
16119944,Ian Nepomniachtchi vs. Magnus Carlsen,"(2792) , (2855)",0-1,56,2021,1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6
16066722,Saleh Salem vs. Magnus Carlsen,"(2718) , (2881)",0-1,31,2021,1. d4 d5 2. c4 c6 3. Nc3 Nf6
15792521,Ian Nepomniachtchi vs. Magnus Carlsen,"(2789) , (2862)",&frac12;-&frac12;,35,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16069514,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",&frac12;-&frac12;,68,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6
16105868,Jorden van Foreest vs. Magnus Carlsen,"(2563) , (2881)",&frac12;-&frac12;,57,2021,1. d4 d6 2. e4 g6 3. Nc3 c6
16048780,Fabiano Caruana vs. Magnus Carlsen,"(2773) , (2881)",&frac12;-&frac12;,52,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16027021,Ian Nepomniachtchi vs. Magnus Carlsen,"(2789) , (2847)",&frac12;-&frac12;,62,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16025231,Ian Nepomniachtchi vs. Magnus Carlsen,"(2789) , (2847)",0-1,54,2021,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4
16108944,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2775) , (2881)",0-1,42,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16089234,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2738) , (2847)",&frac12;-&frac12;,65,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16045720,Ding Liren vs. Magnus Carlsen,"(2799) , (2847)",&frac12;-&frac12;,55,2021,1. d4 d5 2. c4 e6 3. Nc3 a6
16025241,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,35,2021,1. d4 d5 2. c4 e6 3. Nf3 Nf6
16031641,Praggnanandhaa R vs. Magnus Carlsen,"(2608) , (2847)",&frac12;-&frac12;,80,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16046752,Hikaru Nakamura vs. Magnus Carlsen,"(2829) , (2881)",1-0,36,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16031649,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,56,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16069636,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",&frac12;-&frac12;,28,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6
16111616,Vladislav Artemiev vs. Magnus Carlsen,"(2757) , (2881)",1-0,38,2021,1. Nf3 c5 2. c4 Nf6 3. g3 Nc6
16032123,Johan-Sebastian Christiansen vs. Magnus Carlsen,"(2618) , (2847)",&frac12;-&frac12;,92,2021,1. e4 d6 2. d4 g6 3. Nc3 c6
16025241,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,35,2021,1. d4 d5 2. c4 e6 3. Nf3 Nf6
16046752,Hikaru Nakamura vs. Magnus Carlsen,"(2829) , (2881)",1-0,36,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16066508,Alireza Firouzja vs. Magnus Carlsen,"(2703) , (2881)",1-0,45,2021,1. e4 e5 2. Nc3 Nf6 3. Bc4 Bc5
16032175,Alireza Firouzja vs. Magnus Carlsen,"(2759) , (2847)",0-1,49,2021,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5
16050370,Wesley So vs. Magnus Carlsen,"(2741) , (2881)",0-1,33,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16045760,Levon Aronian vs. Magnus Carlsen,"(2781) , (2847)",1-0,51,2021,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5
16031419,Le Quang Liem vs. Magnus Carlsen,"(2709) , (2847)",0-1,52,2021,1. d4 Nf6 2. Nf3 d5 3. c4 e6
16105912,Eric Hansen vs. Magnus Carlsen,"(2579) , (2881)",0-1,35,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
15792567,Alexander Grischuk vs. Magnus Carlsen,"(2777) , (2862)",&frac12;-&frac12;,65,2021,1. e4 c5 2. Nf3 Nc6 3. Nc3 e5
16069558,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",1-0,48,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16108974,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2775) , (2881)",0-1,76,2021,1. c4 Nf6 2. Nc3 e5 3. g3 Bb4
16031649,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,56,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16082606,Radoslaw Wojtaszek vs. Magnus Carlsen,"(2729) , (2881)",&frac12;-&frac12;,36,2021,1. d4 Nf6 2. c4 e6 3. g3 d5
16031659,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,31,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
